Task,Category,text_length
design project timeline,not-urgent not-important,23
organize course material,not-urgent not-important,24
create reading schedule,not-urgent not-important,23
design study roadmap,not-urgent not-important,20
organize academic paper,not-urgent not-important,23
create revision guide,not-urgent not-important,21
design study planner,not-urgent not-important,20
organize course note,not-urgent not-important,20
sort lecture slide,not-urgent not-important,18
organize practice test,not-urgent not-important,22
create concept map,not-urgent not-important,18
design study schedule,not-urgent not-important,21
organize lab report,not-urgent not-important,19
create assignment checklist,not-urgent not-important,27
design research log,not-urgent not-important,19
organize reference list,not-urgent not-important,23
create study summary,not-urgent not-important,20
design revision plan,not-urgent not-important,20
organize past paper,not-urgent not-important,19
create topic outline,not-urgent not-important,20
design study tracker,not-urgent not-important,20
organize course syllabus,not-urgent not-important,24
create exam timetable,not-urgent not-important,21
design study template,not-urgent not-important,21
organize study material,not-urgent not-important,23
create revision note,not-urgent not-important,20
design learning path,not-urgent not-important,20
organize course reading,not-urgent not-important,23
create study checklist,not-urgent not-important,22
design review schedule,not-urgent not-important,22
organize study resource,not-urgent not-important,23
respond to data breach incident,urgent important,31
prepare board meeting presentation,urgent important,34
complete fda compliance audit,urgent important,29
handle major customer escalation,urgent important,32
fix critical production defect,urgent important,30
submit government tender proposal,urgent important,33
address workplace safety violation,urgent important,34
resolve cash flow crisis,urgent important,24
complete merger documentation,urgent important,29
execute emergency evacuation drill,urgent important,34
negotiate vendor contract renewal,urgent important,33
address employee grievance,urgent important,26
submit environmental compliance report,urgent important,38
resolve legal dispute deadline,urgent important,30
coordinate crisis communication,urgent important,31
develop 5-year strategic plan,not-urgent important,29
implement sustainability initiative,not-urgent important,35
research artificial intelligence adoption,not-urgent important,41
design employee wellness program,not-urgent important,32
create succession planning framework,not-urgent important,36
develop talent pipeline strategy,not-urgent important,32
plan digital transformation roadmap,not-urgent important,35
design product innovation framework,not-urgent important,35
create risk management strategy,not-urgent important,31
develop customer experience strategy,not-urgent important,36
plan international expansion,not-urgent important,28
design corporate university program,not-urgent important,35
create diversity inclusion framework,not-urgent important,36
develop data governance policy,not-urgent important,30
plan infrastructure modernization,not-urgent important,33
create intellectual property strategy,not-urgent important,37
design carbon neutrality roadmap,not-urgent important,32
develop supply chain resilience plan,not-urgent important,36
create cybersecurity framework,not-urgent important,30
plan automation strategy,not-urgent important,24
schedule routine maintenance,urgent not-important,28
process employee reimbursement,urgent not-important,30
update department contact list,urgent not-important,30
respond to medium inquiry,urgent not-important,25
order office furniture,urgent not-important,22
coordinate team lunch,urgent not-important,21
update company directory,urgent not-important,24
schedule vendor meeting,urgent not-important,23
process purchase order,urgent not-important,22
update software license,urgent not-important,23
arrange business travel,urgent not-important,23
coordinate office relocation,urgent not-important,28
update employee badge,urgent not-important,21
process routine paperwork,urgent not-important,25
schedule training session,urgent not-important,25
organize team building event,urgent not-important,28
update internal wiki page,urgent not-important,25
coordinate office supply inventory,urgent not-important,34
process parking permit,urgent not-important,22
update phone system,urgent not-important,19
reorganize shared drive folder,not-urgent not-important,30
design email newsletter template,not-urgent not-important,32
update company screensavers,not-urgent not-important,27
customize department letterhead,not-urgent not-important,31
review social medium analytics,not-urgent not-important,30
create office playlist,not-urgent not-important,22
design team mascot,not-urgent not-important,18
update lobby slideshow,not-urgent not-important,22
organize digital asset library,not-urgent not-important,30
create email signature template,not-urgent not-important,31
design office space theme,not-urgent not-important,25
update intranet color scheme,not-urgent not-important,28
create departmental logo,not-urgent not-important,24
design virtual background,not-urgent not-important,25
customize chat bot appearance,not-urgent not-important,29
update printer naming convention,not-urgent not-important,32
design office floor plan,not-urgent not-important,24
create team avatar,not-urgent not-important,18
update meeting room theme,not-urgent not-important,25
design internal presentation template,not-urgent not-important,37
customize project management label,not-urgent not-important,34
update desktop wallpaper,not-urgent not-important,24
design team merchandise,not-urgent not-important,23
create department newsletter,not-urgent not-important,28
update office signage font,not-urgent not-important,26
design employee handbook layout,not-urgent not-important,31
create team celebration certificate,not-urgent not-important,35
update company screensaver quote,not-urgent not-important,32
design office artwork,not-urgent not-important,21
create team building game,not-urgent not-important,25
update office plant arrangement,not-urgent not-important,31
design company swag item,not-urgent not-important,24
create virtual team room,not-urgent not-important,24
update office color scheme,not-urgent not-important,26
design company merchandise,not-urgent not-important,26
create team recognition badge,not-urgent not-important,29
update office furniture layout,not-urgent not-important,30
design company event theme,not-urgent not-important,26
create department dashboard,not-urgent not-important,27
update office decoration schedule,not-urgent not-important,33
design team building activity,not-urgent not-important,29
create virtual office tour,not-urgent not-important,26
update office amenity guide,not-urgent not-important,27
design company culture poster,not-urgent not-important,29
create team spirit contest,not-urgent not-important,26
update office ambiance setting,not-urgent not-important,30
submit today's assignment deadline,urgent important,34
complete group project meeting,urgent important,30
study for tomorrow's quiz,urgent important,25
submit late homework pas request,urgent important,32
attend mandatory class session,urgent important,30
complete online test before midnight,urgent important,36
submit class participation report,urgent important,33
complete peer review deadline,urgent important,29
attend lab practical session,urgent important,28
submit discussion post deadline,urgent important,31
complete attendance makeup form,urgent important,31
submit course reflection paper,urgent important,30
complete week's lab assignment,urgent important,30
submit weekly progress report,urgent important,29
attend required study session,urgent important,29
review next week's material,not-urgent important,27
prepare study note in advance,not-urgent important,29
practice problem set,not-urgent important,20
summarize textbook chapter,not-urgent important,26
create exam study guide,not-urgent important,23
practice lab technique,not-urgent important,22
review feedback comment,not-urgent important,23
prepare presentation slide,not-urgent important,26
update study schedule,not-urgent important,21
practice sample question,not-urgent important,24
prepare group project material,not-urgent important,30
review past assignment,not-urgent important,22
complete optional reading,not-urgent important,25
practice presentation,not-urgent important,21
create assignment timeline,not-urgent important,26
prepare question for office hour,not-urgent important,32
check discussion board reply,urgent not-important,28
reply to classmate email,urgent not-important,24
submit attendance record,urgent not-important,24
check grade update,urgent not-important,18
reserve study room,urgent not-important,18
print lecture slide,urgent not-important,19
check course announcement,urgent not-important,25
submit extra credit form,urgent not-important,24
update digital calendar,urgent not-important,23
check library due date,urgent not-important,22
submit class survey,urgent not-important,19
update study group chat,urgent not-important,23
check assignment feedback,urgent not-important,25
update todo list,urgent not-important,16
submit class preference,urgent not-important,23
check campus event,urgent not-important,18
check exam schedule,urgent not-important,19
update class material,urgent not-important,21
browse social medium study group,not-urgent not-important,32
customize study playlist,not-urgent not-important,24
organize laptop file,not-urgent not-important,20
update study apps,not-urgent not-important,17
rearrange study desk,not-urgent not-important,20
chat with classmate,not-urgent not-important,19
browse educational youtube,not-urgent not-important,26
update study aesthetic,not-urgent not-important,22
create study ambiance,not-urgent not-important,21
browse study supply,not-urgent not-important,19
update study wallpaper,not-urgent not-important,22
organize study snack,not-urgent not-important,20
browse study tip,not-urgent not-important,16
update study playlist,not-urgent not-important,21
organize phone apps,not-urgent not-important,19
browse study motivation quote,not-urgent not-important,29
update study corner,not-urgent not-important,19
organize study break activity,not-urgent not-important,29
update study routine,not-urgent not-important,20
check academic social medium,not-urgent not-important,28
update study environment,not-urgent not-important,24
browse study gadget,not-urgent not-important,19
update study tracker app,not-urgent not-important,24
organize digital bookmark,not-urgent not-important,25
update study reward,not-urgent not-important,19
browse study technique,not-urgent not-important,22
update study goal list,not-urgent not-important,22
organize study break,not-urgent not-important,20
update study progress,not-urgent not-important,21
browse study method,not-urgent not-important,19
update study schedule design,not-urgent not-important,28
update study motivation board,not-urgent not-important,29
browse study blog,not-urgent not-important,17
update study routine checklist,not-urgent not-important,30
organize study area,not-urgent not-important,19
update study progress tracker,not-urgent not-important,29
browse study podcasts,not-urgent not-important,21
update study timeline,not-urgent not-important,21
organize study apps,not-urgent not-important,19
update study method list,not-urgent not-important,24
browse study website,not-urgent not-important,20
update study checklist,not-urgent not-important,22
organize study schedule,not-urgent not-important,23
reorganize backpack content,not-urgent not-important,27
update phone home screen layout,not-urgent not-important,31
sort photo from class event,not-urgent not-important,27
customize notebook cover,not-urgent not-important,24
organize pencil case,not-urgent not-important,20
create new study playlist,not-urgent not-important,25
rearrange desk decoration,not-urgent not-important,25
color-code digital folder,not-urgent not-important,25
design new schedule template,not-urgent not-important,28
browse new stationery item,not-urgent not-important,26
update laptop sticker,not-urgent not-important,21
organize mobile bookmark,not-urgent not-important,24
customize calculator case,not-urgent not-important,25
sort digital downloads folder,not-urgent not-important,29
update device ringtones,not-urgent not-important,23
reorganize study apps layout,not-urgent not-important,28
design new folder label,not-urgent not-important,23
browse study room decor,not-urgent not-important,23
update screen time limit,not-urgent not-important,24
customize alarm sound,not-urgent not-important,21
sort old assignment paper,not-urgent not-important,25
design new study corner,not-urgent not-important,23
update study break game,not-urgent not-important,23
organize phone photo album,not-urgent not-important,26
browse laptop accessory,not-urgent not-important,23
update study music genre,not-urgent not-important,24
sort browser bookmark,not-urgent not-important,21
customize folder icon,not-urgent not-important,21
update study room lighting,not-urgent not-important,26
organize digital screenshots,not-urgent not-important,28
browse desk organization item,not-urgent not-important,29
update social medium bios,not-urgent not-important,25
sort email newsletter,not-urgent not-important,21
design new study badge,not-urgent not-important,22
update app notification setting,not-urgent not-important,31
browse study motivation account,not-urgent not-important,31
customize keyboard shortcut,not-urgent not-important,27
update study break timer,not-urgent not-important,24
sort downloaded pdfs,not-urgent not-important,20
browse new phone case,not-urgent not-important,21
update desktop widget,not-urgent not-important,21
sort browser extension,not-urgent not-important,22
design new study avatar,not-urgent not-important,23
update playlist cover,not-urgent not-important,21
browse study room plant,not-urgent not-important,23
sort mobile apps by color,not-urgent not-important,25
update cloud storage layout,not-urgent not-important,27
design new study sticker,not-urgent not-important,24
browse desk lamp,not-urgent not-important,16
update phone widget,not-urgent not-important,19
sort study bookmark,not-urgent not-important,19
customize app icon,not-urgent not-important,18
update study room scent,not-urgent not-important,23
browse mouse pad,not-urgent not-important,16
update browser theme,not-urgent not-important,20
sort study screenshots,not-urgent not-important,22
design new background,not-urgent not-important,21
update playlist order,not-urgent not-important,21
browse pencil holder,not-urgent not-important,20
update folder color,not-urgent not-important,19
sort phone contact,not-urgent not-important,18
design new avatar,not-urgent not-important,17
browse desk organizer,not-urgent not-important,21
update app layout,not-urgent not-important,17
sort study website,not-urgent not-important,18
customize file name,not-urgent not-important,19
update room arrangement,not-urgent not-important,23
browse study snack,not-urgent not-important,18
update playlist name,not-urgent not-important,20
sort digital note,not-urgent not-important,17
design new icon,not-urgent not-important,15
browse study chair,not-urgent not-important,18
update app theme,not-urgent not-important,16
sort bookmarked video,not-urgent not-important,21
customize wallpaper,not-urgent not-important,19
update desk setup,not-urgent not-important,17
browse highlighter,not-urgent not-important,18
update folder name,not-urgent not-important,18
sort saved post,not-urgent not-important,15
design new theme,not-urgent not-important,16
browse desk mat,not-urgent not-important,15
update app folder,not-urgent not-important,17
sort study playlist,not-urgent not-important,19
customize shortcut,not-urgent not-important,18
update room decor,not-urgent not-important,17
browse study timer,not-urgent not-important,18
update note theme,not-urgent not-important,17
sort saved link,not-urgent not-important,15
design new layout,not-urgent not-important,17
browse desk light,not-urgent not-important,17
update app order,not-urgent not-important,16
sort music playlist,not-urgent not-important,19
submit final thesis deadline,urgent important,28
complete scholarship application,urgent important,32
study for tomorrow's exam,urgent important,25
submit research paper revision,urgent important,30
register for required course,urgent important,28
appeal academic probation,urgent important,25
complete lab safety training,urgent important,28
submit financial aid document,urgent important,29
finish group project deadline,urgent important,29
schedule thesis defense,urgent important,23
complete course withdrawal form,urgent important,31
submit internship application,urgent important,29
address academic misconduct case,urgent important,32
complete graduation requirement,urgent important,31
submit housing application,urgent important,26
create study schedule,not-urgent important,21
research graduate school,not-urgent important,24
build professional network,not-urgent important,26
practice presentation skill,not-urgent important,27
develop research skill,not-urgent important,22
join academic society,not-urgent important,21
build portfolio project,not-urgent important,23
learn time management skill,not-urgent important,27
start side project,not-urgent important,18
learn foreign language,not-urgent important,22
build writing skill,not-urgent important,19
explore research opportunity,not-urgent important,28
develop leadership skill,not-urgent important,24
create career plan,not-urgent important,18
build personal brand,not-urgent important,20
learn public speaking,not-urgent important,21
develop critical thinking,not-urgent important,25
build technical skill,not-urgent important,21
update course calendar,urgent not-important,22
schedule study group,urgent not-important,20
submit club membership form,urgent not-important,27
return library book,urgent not-important,19
get student id card,urgent not-important,19
schedule academic advising,urgent not-important,26
update student profile,urgent not-important,22
submit parking permit,urgent not-important,21
order graduation gown,urgent not-important,21
schedule gym session,urgent not-important,20
submit club attendance,urgent not-important,22
register for campus event,urgent not-important,25
update student email,urgent not-important,20
book study room,urgent not-important,15
submit routine assignment,urgent not-important,25
schedule club meeting,urgent not-important,21
update class schedule,urgent not-important,21
order course material,urgent not-important,21
customize laptop setup,not-urgent not-important,22
organize study playlist,not-urgent not-important,23
decorate dorm room,not-urgent not-important,18
update social medium profile,not-urgent not-important,28
browse campus store,not-urgent not-important,19
design note template,not-urgent not-important,20
customize planner layout,not-urgent not-important,24
update device wallpaper,not-urgent not-important,23
design study corner,not-urgent not-important,19
create mood board,not-urgent not-important,17
organize study supply,not-urgent not-important,21
update reading list,not-urgent not-important,19
design study routine,not-urgent not-important,20
create productivity system,not-urgent not-important,26
organize study music,not-urgent not-important,20
design study space,not-urgent not-important,18
browse study accessory,not-urgent not-important,22
create study atmosphere,not-urgent not-important,23
design revision card,not-urgent not-important,20
create study motivation board,not-urgent not-important,29
update study desk layout,not-urgent not-important,24
create study routine checklist,not-urgent not-important,30
design study progress chart,not-urgent not-important,27
update study goal visuals,not-urgent not-important,25
create study reward system,not-urgent not-important,26
design study habit tracker,not-urgent not-important,26
update study method visuals,not-urgent not-important,27
create study timeline design,not-urgent not-important,28
design study milestone tracker,not-urgent not-important,30
update study focus timer,not-urgent not-important,24
create study session planner,not-urgent not-important,28
design study break timer,not-urgent not-important,24
update study progress board,not-urgent not-important,27
create study accountability chart,not-urgent not-important,33
design study reflection journal,not-urgent not-important,31
update study strategy visuals,not-urgent not-important,29
create study productivity log,not-urgent not-important,29
design study success tracker,not-urgent not-important,28
update study routine visuals,not-urgent not-important,28
"browse and buy a birthday present for her mom, whose birthday is next week",not-urgent important,74
take a medicine,urgent important,15
vacuuming the floor,not-urgent important,19
washing the dish,urgent important,16
"wiping surface (tables, counters)",not-urgent important,33
dusting furniture,not-urgent important,17
cleaning the bathroom,urgent important,21
organizing clutter,not-urgent important,18
changing bed sheet,not-urgent important,18
mopping the floor,not-urgent important,17
cleaning the kitchen,urgent important,20
taking out the trash,urgent important,20
wake up in the morning,urgent important,22
eat breakfast,not-urgent important,13
shower and get ready for the day,not-urgent important,32
work or study,urgent important,13
eat lunch,not-urgent important,9
take a break or nap,not-urgent important,19
do light exercise (stretching or walking),not-urgent important,41
interact with family or friend,not-urgent important,30
prepare dinner,not-urgent important,14
maintain personal hygiene and cleanliness,not-urgent important,41
rest and get enough sleep,urgent important,25
review assignment instruction,urgent important,29
research for homework,not-urgent important,21
complete homework for subject 1,urgent important,31
complete homework for subject 2,urgent important,31
review note and study for homework,not-urgent important,34
check answer and edit work,not-urgent important,26
ask for help or clarification if needed,not-urgent important,39
submit homework on time,urgent important,23
organize homework material and workspace,not-urgent important,40
take break during homework,not-urgent important,26
set study goal for the session,urgent important,30
organize study material and workspace,not-urgent important,37
review note and summary,not-urgent important,23
read textbook or study resource,not-urgent important,31
practice problem or exercise,not-urgent important,28
take break at regular interval,not-urgent important,30
stay hydrated and have snack,not-urgent important,28
review past assignment and mistake,not-urgent important,34
summarize key point for retention,not-urgent important,33
prepare for upcoming exam or quiz,urgent important,33
write and plan code for a feature,not-urgent important,33
debug and fix bug in existing code,urgent important,34
research new library or framework for project,not-urgent important,45
write unit test for code,not-urgent important,24
optimize code for performance,not-urgent important,29
review pull request from team member,urgent not-important,36
attend code review meeting,urgent not-important,26
refactor code for better readability,not-urgent important,36
check and update documentation for code,not-urgent not-important,39
make minor ui improvement or enhancement,not-urgent not-important,40
define project scope and objective,urgent important,34
create project timeline and milestone,urgent important,37
assign task to team member,urgent important,26
monitor project progress and ensure deadline are met,urgent important,52
communicate with stakeholder and client,not-urgent important,39
review and approve project deliverable,urgent important,38
risk assessment and mitigation planning,not-urgent important,39
organize team meeting and check-in,not-urgent important,34
maintain project documentation and report,not-urgent important,41
provide feedback and mentorship to team member,not-urgent important,46
ensure budget management and resource allocation,urgent not-important,48
celebrate project milestone and success,not-urgent not-important,39
establish project team and role,urgent important,31
"set up project management tool (e.g., trello, jira)",not-urgent important,51
conduct risk analysis and develop contingency plan,not-urgent important,50
ensure quality control and standard are followed,urgent important,48
track project budget and expense,not-urgent important,32
review and update project schedule regularly,urgent important,44
facilitate collaboration and team communication,not-urgent important,47
conduct client presentation and progress update,not-urgent important,47
resolve conflict and issue within the team,urgent important,42
evaluate team performance and provide constructive feedback,not-urgent important,59
ensure compliance with legal or regulatory requirement,not-urgent important,54
prepare and deliver final project report to stakeholder,urgent important,55
collect and clean raw data,urgent important,26
analyze data and identify trend,urgent important,31
develop and train machine learning model,urgent important,40
optimize and fine-tune model for better accuracy,not-urgent important,48
create data visualization and report for stakeholder,not-urgent important,52
conduct exploratory data analysis (eda),not-urgent important,39
collaborate with cross-functional team to understand business need,not-urgent important,66
document data science process and method used,not-urgent important,45
stay updated with latest trend and tool in data science,not-urgent important,55
evaluate model performance and make adjustment,urgent important,46
present insight and finding to non-technical stakeholder,urgent not-important,56
automate repetitive data processing task,not-urgent important,40
prepare and preprocess data for analysis,urgent important,40
perform feature engineering and selection,urgent important,41
build data pipeline for efficient data flow,urgent important,43
test hypothesis and conduct statistical analysis,not-urgent important,48
create dashboard for real-time data monitoring,not-urgent important,46
work on model interpretability and explainability,not-urgent important,49
conduct a/b testing and experimentation,not-urgent important,39
collaborate with engineer to deploy machine learning model,urgent important,58
monitor deployed model and retrain a necessary,not-urgent important,46
prepare and deliver presentation to share insight with executive,not-urgent important,64
ensure data security and compliance with privacy regulation,not-urgent important,59
clean and maintain data repository for easy access,not-urgent not-important,50
set up development environment and tool,urgent important,39
define app feature and user story,urgent important,33
"design the app ui/ux (wireframes, mockups)",not-urgent important,42
develop core app functionality and feature,urgent important,42
integrate apis and external service,urgent important,35
test app for bug and fix critical issue,urgent important,39
optimize app for performance and speed,not-urgent important,38
ensure app is responsive across device and screen size,not-urgent important,54
prepare demo and presentation for hackathon judging,urgent important,51
deploy app to app store/play store (if applicable),not-urgent important,50
collaborate with team member on feature and integration,not-urgent important,55
write documentation and comment code for clarity,not-urgent important,48
review course material and note for exam,urgent important,40
complete assignment and submit on time,urgent important,38
attend lecture and participate in discussion,not-urgent important,44
read assigned textbook and research article,not-urgent important,43
work on group project and collaborate with team member,not-urgent important,54
prepare presentation and report for class,not-urgent important,41
seek internship and career opportunity,not-urgent important,38
network with professor and industry professional,not-urgent important,48
organize study material and plan study schedule,not-urgent important,47
analyze case study and apply theoretical knowledge,not-urgent important,50
review feedback from assignment and improve performance,urgent important,55
participate in extracurricular activity and leadership program,not-urgent not-important,62
rest and allow your body to recover,urgent important,35
hydrate and take medicine a prescribed,urgent important,38
notify work/school about absence,urgent important,32
sleep and take short nap to boost recovery,urgent important,42
monitor symptom and seek medical help if necessary,urgent important,50
"eat light, nutritious meal for energy",not-urgent important,37
stay in touch with colleague or classmate for important update,not-urgent important,62
"catch up on light, non-energy intensive task (e.g., emails, reading)",not-urgent important,68
relax and watch movie or listen to music to distract yourself,not-urgent not-important,61
avoid strenuous activity and focus on full recovery,not-urgent important,51
make a grocery list based on meal plan,urgent important,38
check pantry and fridge for existing item,not-urgent important,41
go to the grocery store or order online,urgent important,39
